C_CUSTKEY,C_NAME,C_ADDRESS,C_CITY,C_NATION,C_REGION,C_PHONE,C_MKTSEGMENT
13942,Customer#000013942,vIrayiM8OxjO64X71d,KENYA    6,KENYA,AFRICA,24-700-148-9234,MACHINERY
13943,Customer#000013943,UgwbyaNR5Wk,INDIA    9,INDIA,ASIA,18-765-540-2583,HOUSEHOLD
13945,Customer#000013945,"9Qz,shdr",MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-212-366-6259,HOUSEHOLD
13946,Customer#000013946,6YegQdzh7VtAShcSW,KENYA    9,KENYA,AFRICA,24-647-682-2079,AUTOMOBILE
13948,Customer#000013948,nPWSfTCQYExXYcJdwyvf,ETHIOPIA 1,ETHIOPIA,AFRICA,15-493-433-5007,AUTOMOBILE
13949,Customer#000013949,fAcnDgs9EzTRq,JAPAN    5,JAPAN,ASIA,22-138-407-7149,HOUSEHOLD
13951,Customer#000013951,Tz1RCSoQjsUgmEsOBLlJtYvf,EGYPT    6,EGYPT,MIDDLE EAST,14-449-814-5407,HOUSEHOLD
13954,Customer#000013954,HinqJl3LqdDuX0HGPf,RUSSIA   0,RUSSIA,EUROPE,32-363-255-3028,MACHINERY
13955,Customer#000013955,wMrik7P WPaaP,IRAN     7,IRAN,MIDDLE EAST,20-218-400-5575,FURNITURE
13957,Customer#000013957,rSto0fk5bpNy5xIRlNRb,ARGENTINA1,ARGENTINA,AMERICA,11-490-670-4933,FURNITURE
13958,Customer#000013958,f1XuV82FziXDkOhocdM,INDONESIA6,INDONESIA,ASIA,19-274-676-8284,HOUSEHOLD
13960,Customer#000013960,smMgs2dXfTWZ5by4ZfgfJGO,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-887-621-7642,FURNITURE
13961,Customer#000013961,z0hOPFjDS2u02V,IRAQ     0,IRAQ,MIDDLE EAST,21-307-662-3578,AUTOMOBILE
13963,Customer#000013963,xfL QlkZT6W cQrm,FRANCE   2,FRANCE,EUROPE,16-636-704-5705,MACHINERY
13964,Customer#000013964,1DnDnpigkF3Ve,ALGERIA  0,ALGERIA,AFRICA,10-568-270-6213,BUILDING
13966,Customer#000013966,4R0nGHLTuDb9Yb7sROAkCwv,INDIA    1,INDIA,ASIA,18-918-243-4782,FURNITURE
13967,Customer#000013967,6s9OPirPOzrtEcYkuMr4ivft,INDONESIA5,INDONESIA,ASIA,19-148-273-6585,MACHINERY
13969,Customer#000013969,eJbKuUwpKT9de,UNITED KI0,UNITED KINGDOM,EUROPE,33-562-111-9975,MACHINERY
13970,Customer#000013970,"PdfZIjPSdOYlaY,o9dC",JORDAN   7,JORDAN,MIDDLE EAST,23-538-128-9521,FURNITURE
13972,Customer#000013972,VyloFi432tQhsO4,ROMANIA  0,ROMANIA,EUROPE,29-829-147-5640,FURNITURE
13973,Customer#000013973,",F478lqRrUDRYI097meCgw",FRANCE   8,FRANCE,EUROPE,16-600-744-1662,FURNITURE
13975,Customer#000013975,a8prdElIzk,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-187-500-5589,AUTOMOBILE
13976,Customer#000013976,QZy6Buuyc1KqK,JORDAN   5,JORDAN,MIDDLE EAST,23-417-200-7021,BUILDING
13978,Customer#000013978,Mrjk nGxWf094,ROMANIA  8,ROMANIA,EUROPE,29-598-714-6679,MACHINERY
13979,Customer#000013979,k2zMvojQC,INDONESIA8,INDONESIA,ASIA,19-298-703-8839,HOUSEHOLD
13981,Customer#000013981,FLmr0ME5RfGBt6,ETHIOPIA 1,ETHIOPIA,AFRICA,15-415-249-7956,BUILDING
13982,Customer#000013982,K4f8CeBCJzQKBwCmo,GERMANY  1,GERMANY,EUROPE,17-165-856-1134,MACHINERY
13984,Customer#000013984,B13vxRB,IRAN     5,IRAN,MIDDLE EAST,20-405-728-7991,BUILDING
13987,Customer#000013987,8vvSRsuDIBvqiwpdSE3,CANADA   9,CANADA,AMERICA,13-649-378-6401,MACHINERY
13988,Customer#000013988,U5KH 17Q2wFs89,RUSSIA   4,RUSSIA,EUROPE,32-391-140-5404,HOUSEHOLD
13990,Customer#000013990,XjxAiHnWeWltb9d,UNITED KI8,UNITED KINGDOM,EUROPE,33-792-403-5514,FURNITURE
13991,Customer#000013991,mvuYaUwUhms6I,ETHIOPIA 5,ETHIOPIA,AFRICA,15-290-299-7242,BUILDING
13993,Customer#000013993,DjQWwgPSG0anVe1C5n0OIL,EGYPT    3,EGYPT,MIDDLE EAST,14-661-748-7868,BUILDING
13994,Customer#000013994,FvHipu2JyXOjeD1,IRAN     6,IRAN,MIDDLE EAST,20-788-854-6263,HOUSEHOLD
13996,Customer#000013996,uyTgQS CK UN12lc5uA,SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-987-490-6153,FURNITURE
13997,Customer#000013997,BNZoD1HphT3JSLxpuw,GERMANY  9,GERMANY,EUROPE,17-833-912-9991,AUTOMOBILE
13999,Customer#000013999,8p7s1P6n,CHINA    3,CHINA,ASIA,28-580-853-8071,HOUSEHOLD
14000,Customer#000014000,ox7uY2Ch9Lj  Kj5yTGM,UNITED ST7,UNITED STATES,AMERICA,34-736-656-6927,BUILDING
14002,Customer#000014002,cGp9zJCvQUHnU,PERU     1,PERU,AMERICA,27-923-780-5734,HOUSEHOLD
14003,Customer#000014003,AA9gl93H54bXJNMSiY42MIz,IRAQ     3,IRAQ,MIDDLE EAST,21-694-687-8063,MACHINERY
14005,Customer#000014005,LqGPf1n0RihJso 0YVugP,UNITED KI0,UNITED KINGDOM,EUROPE,33-894-200-8294,MACHINERY
14006,Customer#000014006,eElZiL5ZALgCrk3zxwv,SAUDI ARA3,SAUDI ARABIA,MIDDLE EAST,30-852-717-9870,AUTOMOBILE
14008,Customer#000014008,"595VSKNksQA5roxl,oMkIh",MOROCCO  5,MOROCCO,AFRICA,25-923-152-1887,FURNITURE
14009,Customer#000014009,68ooP7bS,PERU     5,PERU,AMERICA,27-160-944-9219,FURNITURE
14011,Customer#000014011,"Zb6OVq,Nt069GUgDHzLp",JAPAN    8,JAPAN,ASIA,22-119-651-5892,AUTOMOBILE
14012,Customer#000014012,RapIs7EM,UNITED KI0,UNITED KINGDOM,EUROPE,33-744-828-6707,HOUSEHOLD
14014,Customer#000014014,KyqbJo3pCSJ57 9Y9M1F,VIETNAM  0,VIETNAM,ASIA,31-490-515-7551,BUILDING
14015,Customer#000014015,"t,Fp,3u1EJx5W0",EGYPT    3,EGYPT,MIDDLE EAST,14-812-144-2040,HOUSEHOLD
14017,Customer#000014017,"qRY,BRQrbDEdsXiRL2lZN",UNITED ST6,UNITED STATES,AMERICA,34-392-336-1061,BUILDING
14020,Customer#000014020,ye6I khlZZHvU3zKzM,ROMANIA  4,ROMANIA,EUROPE,29-423-490-2322,HOUSEHOLD
14021,Customer#000014021,WvQGXtWj,ARGENTINA8,ARGENTINA,AMERICA,11-612-248-6034,HOUSEHOLD
14023,Customer#000014023,UFNxDTMu12ALYU,UNITED ST2,UNITED STATES,AMERICA,34-566-980-3815,FURNITURE
14024,Customer#000014024,MmKmWDn5JgZJ14R0epzrxq,SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-392-810-7055,AUTOMOBILE
14026,Customer#000014026,0Hj7 p1b3Wo5,JAPAN    8,JAPAN,ASIA,22-299-642-7042,MACHINERY
14027,Customer#000014027,p kvmGiziWRjZM4Ijdyvr,KENYA    6,KENYA,AFRICA,24-321-180-4933,BUILDING
14029,Customer#000014029,8pV93mas5wepxBPLqEbL6m,PERU     9,PERU,AMERICA,27-146-539-8143,FURNITURE
14032,Customer#000014032,oVL3qpIPxifBXo,RUSSIA   3,RUSSIA,EUROPE,32-647-315-1824,HOUSEHOLD
14033,Customer#000014033,"H5,4YrBNjD9f9dA",BRAZIL   0,BRAZIL,AMERICA,12-150-652-1926,FURNITURE
14035,Customer#000014035,4cvU5yVoIWe,UNITED KI1,UNITED KINGDOM,EUROPE,33-926-381-9872,AUTOMOBILE
14036,Customer#000014036,bDwBbOWn2JQK,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-315-357-3482,FURNITURE
14038,Customer#000014038,Id7c54K,ALGERIA  3,ALGERIA,AFRICA,10-669-495-9962,AUTOMOBILE
14039,Customer#000014039,U7aSNoQx3OGtbF,KENYA    4,KENYA,AFRICA,24-515-901-6543,AUTOMOBILE
14041,Customer#000014041,btlMnu wUs Y9,UNITED KI4,UNITED KINGDOM,EUROPE,33-533-533-8743,MACHINERY
14042,Customer#000014042,"NRQ0irE5,qPD1 Iad6F",RUSSIA   6,RUSSIA,EUROPE,32-532-219-1920,AUTOMOBILE
14044,Customer#000014044,qFJn8kB4vfgMGLDGSlR8Fi,EGYPT    0,EGYPT,MIDDLE EAST,14-817-441-5077,HOUSEHOLD
14045,Customer#000014045,"n3fgWT9,w mvYDiELNG2NC",KENYA    9,KENYA,AFRICA,24-142-663-1689,AUTOMOBILE
14047,Customer#000014047,8Kn31l,EGYPT    3,EGYPT,MIDDLE EAST,14-465-320-1530,BUILDING
14048,Customer#000014048,wgsirNZOV,ALGERIA  8,ALGERIA,AFRICA,10-350-908-7197,AUTOMOBILE
14050,Customer#000014050,1SwUq6yi Qz3UZ,IRAN     2,IRAN,MIDDLE EAST,20-665-376-4037,FURNITURE
14051,Customer#000014051,fL GDB6T0b3,KENYA    5,KENYA,AFRICA,24-816-652-2645,AUTOMOBILE
14053,Customer#000014053,"ivLYjesE8,nAQVSKICdXbdtT",UNITED ST2,UNITED STATES,AMERICA,34-295-684-1756,AUTOMOBILE
14056,Customer#000014056,92ZwAsmA2Qb3GuUWRhWA4,RUSSIA   0,RUSSIA,EUROPE,32-217-327-2916,BUILDING
14057,Customer#000014057,IKXg9KDl02LiXMBPax,EGYPT    5,EGYPT,MIDDLE EAST,14-468-443-6290,BUILDING
14059,Customer#000014059,"PE19id,dh0MNiLEQVkn9",EGYPT    1,EGYPT,MIDDLE EAST,14-704-907-9486,MACHINERY
14060,Customer#000014060,0 DdH0q9nL,RUSSIA   0,RUSSIA,EUROPE,32-229-866-6071,FURNITURE
14062,Customer#000014062,vIlfABSuevesqckY9,INDIA    9,INDIA,ASIA,18-397-870-1084,MACHINERY
14063,Customer#000014063,uLZMH9,GERMANY  3,GERMANY,EUROPE,17-428-137-4736,AUTOMOBILE
14065,Customer#000014065,qMD6FeU7Y,CANADA   9,CANADA,AMERICA,13-812-371-3581,BUILDING
14066,Customer#000014066,cnMKRW34c,INDONESIA3,INDONESIA,ASIA,19-736-170-7229,MACHINERY
14068,Customer#000014068,rcPXs9,KENYA    2,KENYA,AFRICA,24-870-844-7365,HOUSEHOLD
14069,Customer#000014069,bUoL0gUdpz,IRAQ     5,IRAQ,MIDDLE EAST,21-363-348-5661,HOUSEHOLD
14071,Customer#000014071,IIfP3z,IRAN     3,IRAN,MIDDLE EAST,20-216-910-4322,FURNITURE
14072,Customer#000014072,X4Moiie80BWBvKG0IE,ETHIOPIA 2,ETHIOPIA,AFRICA,15-204-139-5728,MACHINERY
14074,Customer#000014074,uQ9an6cWsGOkBWTTh,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-717-957-4611,BUILDING
14075,Customer#000014075,ua5YObV3nIMWy3387YaotSqR,CHINA    8,CHINA,ASIA,28-513-884-4494,AUTOMOBILE
14077,Customer#000014077,"NU1DgArIb0WhA73mz5fX,x6",IRAN     8,IRAN,MIDDLE EAST,20-724-905-4935,HOUSEHOLD
14078,Customer#000014078,C110YeEhdfJVv,ROMANIA  4,ROMANIA,EUROPE,29-698-114-1753,BUILDING
14080,Customer#000014080,1mpxSPlD6z0,RUSSIA   6,RUSSIA,EUROPE,32-817-188-7611,HOUSEHOLD
14081,Customer#000014081,Mfa3vSfQSR6A,PERU     1,PERU,AMERICA,27-885-345-5813,MACHINERY
14083,Customer#000014083,PkBrCUSBI0crv,CHINA    9,CHINA,ASIA,28-365-106-1895,MACHINERY
14084,Customer#000014084,wpW5ABJBMSAKnM3A,ALGERIA  4,ALGERIA,AFRICA,10-849-518-9893,AUTOMOBILE
14086,Customer#000014086,FnEF24s3mdPUZwq5Y0C,VIETNAM  2,VIETNAM,ASIA,31-379-622-9994,AUTOMOBILE
14087,Customer#000014087,"b,d6KD5c3ajzrrb1Fiw",ROMANIA  6,ROMANIA,EUROPE,29-760-283-9243,BUILDING
14089,Customer#000014089,Hz5aZE,UNITED KI8,UNITED KINGDOM,EUROPE,33-715-594-3318,HOUSEHOLD
14090,Customer#000014090,"LimBNnBpDP,dFqt",ARGENTINA7,ARGENTINA,AMERICA,11-208-496-5729,MACHINERY
14092,Customer#000014092,KvzTHJb MStf3lUiZg67QV,IRAQ     5,IRAQ,MIDDLE EAST,21-250-598-5396,FURNITURE
14093,Customer#000014093,FwXP7Y8BZwQeVhm0JcjUzS,ARGENTINA4,ARGENTINA,AMERICA,11-834-176-3058,BUILDING
14095,Customer#000014095,",88Nk13LSSy",EGYPT    6,EGYPT,MIDDLE EAST,14-899-749-1796,AUTOMOBILE
14096,Customer#000014096,jIIjqzej8K1FiMHt8pq41,GERMANY  1,GERMANY,EUROPE,17-540-441-4361,BUILDING
14098,Customer#000014098,yL7QFA8r8 ZUHdwbe,UNITED KI4,UNITED KINGDOM,EUROPE,33-874-855-1263,BUILDING
14099,Customer#000014099,1RdMlhI,JORDAN   6,JORDAN,MIDDLE EAST,23-276-728-2741,BUILDING
14101,Customer#000014101,QPQtUw38ybawfMJ327u53,UNITED ST9,UNITED STATES,AMERICA,34-276-822-3948,MACHINERY
14102,Customer#000014102,Ov1betF7RLT9vm,IRAN     6,IRAN,MIDDLE EAST,20-431-145-6849,AUTOMOBILE
14104,Customer#000014104,Jy5PRNh rDJSXjvhhdmLzF,IRAN     4,IRAN,MIDDLE EAST,20-603-592-1965,MACHINERY
14105,Customer#000014105,6VIGaTmQ uRabTqmA,UNITED KI6,UNITED KINGDOM,EUROPE,33-786-269-5958,FURNITURE
14107,Customer#000014107,"yH,ADjGaVhDNN92NFcUpUDUI",GERMANY  0,GERMANY,EUROPE,17-509-863-2232,AUTOMOBILE
14108,Customer#000014108,6KcdrMbBbCz4vomfMz7TAgq,ROMANIA  4,ROMANIA,EUROPE,29-380-937-4678,MACHINERY
14111,Customer#000014111,ZqjwjOSf,JAPAN    2,JAPAN,ASIA,22-987-661-3249,BUILDING
14113,Customer#000014113,"G3lFY0jW,R9pZHdB",CHINA    5,CHINA,ASIA,28-590-635-9588,AUTOMOBILE
14116,Customer#000014116,"h,aX0A",UNITED ST0,UNITED STATES,AMERICA,34-674-240-4742,HOUSEHOLD
14117,Customer#000014117,"WBnMPx,",ARGENTINA0,ARGENTINA,AMERICA,11-123-817-8142,FURNITURE
14119,Customer#000014119,"e2W,Uxx5D1LC",MOROCCO  9,MOROCCO,AFRICA,25-817-979-5725,BUILDING
14120,Customer#000014120,takxhCE5R3YbP5MT L,IRAN     6,IRAN,MIDDLE EAST,20-713-546-2118,MACHINERY
14122,Customer#000014122,L2tsi5MYeJdVBZrk,SAUDI ARA4,SAUDI ARABIA,MIDDLE EAST,30-939-961-9575,BUILDING
14125,Customer#000014125,gtiSTq9,ETHIOPIA 0,ETHIOPIA,AFRICA,15-280-161-3923,MACHINERY
14126,Customer#000014126,M pFjwG8yzpEolpwrwWZ,MOZAMBIQU0,MOZAMBIQUE,AFRICA,26-740-644-9965,MACHINERY
14128,Customer#000014128,"IRn2G1,x6",VIETNAM  9,VIETNAM,ASIA,31-496-616-8369,FURNITURE
14131,Customer#000014131,LSahPv9TY8iZ,VIETNAM  9,VIETNAM,ASIA,31-880-380-7555,HOUSEHOLD
14132,Customer#000014132,sxweDAiJZU,CHINA    7,CHINA,ASIA,28-416-743-6545,AUTOMOBILE
14134,Customer#000014134,f3jRyDvS4xy8l95A,ROMANIA  8,ROMANIA,EUROPE,29-891-343-2693,FURNITURE
14135,Customer#000014135,D JYPl,VIETNAM  3,VIETNAM,ASIA,31-496-294-3308,BUILDING
14137,Customer#000014137,SkNSUzM71EuNAwAyPGzh,VIETNAM  8,VIETNAM,ASIA,31-906-594-3560,AUTOMOBILE
14138,Customer#000014138,6T eY LaRZb2r33hwpL,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-736-100-2831,HOUSEHOLD
14140,Customer#000014140,nWnzIMQDw 4A25S,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-668-271-8695,AUTOMOBILE
14143,Customer#000014143,cU8AULSA28KJj,MOROCCO  8,MOROCCO,AFRICA,25-146-746-4237,AUTOMOBILE
14144,Customer#000014144,"FU,J4jeZeii8vRpjCVDOPrET",FRANCE   9,FRANCE,EUROPE,16-931-337-3616,HOUSEHOLD
14146,Customer#000014146,eeytXTY7,IRAQ     9,IRAQ,MIDDLE EAST,21-991-586-1751,MACHINERY
14149,Customer#000014149,iPU0fM1hfR8qD0z0RCOVEN,BRAZIL   1,BRAZIL,AMERICA,12-112-671-3206,MACHINERY
14150,Customer#000014150,ARl46jZM6u,BRAZIL   8,BRAZIL,AMERICA,12-661-273-1532,AUTOMOBILE
14152,Customer#000014152,3b3UZR1cLSB1XBfb27tVDedy,ETHIOPIA 3,ETHIOPIA,AFRICA,15-268-435-8581,MACHINERY
14153,Customer#000014153,lieSRm,ARGENTINA6,ARGENTINA,AMERICA,11-755-702-1740,FURNITURE
14155,Customer#000014155,F6iOYoZjnBDy ZOk 4JP,INDIA    4,INDIA,ASIA,18-139-862-7865,AUTOMOBILE
14156,Customer#000014156,s9PdglUqUr2O564Cqssro,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-592-963-8016,FURNITURE
14158,Customer#000014158,  bdJ2cNp7IOSa4iVH53jjYk,IRAQ     4,IRAQ,MIDDLE EAST,21-166-416-5704,MACHINERY
14159,Customer#000014159,pRIPAQHCPRM2K,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-884-944-2066,AUTOMOBILE
14161,Customer#000014161,7FMaL5SF,INDIA    7,INDIA,ASIA,18-445-475-7714,HOUSEHOLD
14162,Customer#000014162,5f31Jt,IRAQ     6,IRAQ,MIDDLE EAST,21-467-938-3129,BUILDING
14164,Customer#000014164,",iNHlV",SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-942-491-4992,HOUSEHOLD
14165,Customer#000014165,"8n4GGufm6Wx8VV,zomT6K",IRAN     1,IRAN,MIDDLE EAST,20-488-383-3553,FURNITURE
14167,Customer#000014167, JCnl5v,INDONESIA1,INDONESIA,ASIA,19-433-323-9451,FURNITURE
14168,Customer#000014168,yfN5vOHfdDSq0mJU3h8los,MOROCCO  9,MOROCCO,AFRICA,25-470-276-6270,FURNITURE
14170,Customer#000014170,CCiR3F,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-212-478-9319,AUTOMOBILE
14171,Customer#000014171,dxpq3eC,IRAQ     0,IRAQ,MIDDLE EAST,21-758-145-6068,BUILDING
14173,Customer#000014173,"5hT,QQBehqcuSiyGCp",CANADA   9,CANADA,AMERICA,13-680-150-1962,MACHINERY
14174,Customer#000014174,NOolGGG9BY CI,EGYPT    4,EGYPT,MIDDLE EAST,14-634-551-3490,BUILDING
14176,Customer#000014176,fkQworxl,INDIA    4,INDIA,ASIA,18-508-209-2090,MACHINERY
14177,Customer#000014177,OddTuJeAmV,ARGENTINA7,ARGENTINA,AMERICA,11-224-637-5561,HOUSEHOLD
14179,Customer#000014179,Zxjz8kNYtKT,INDONESIA9,INDONESIA,ASIA,19-376-542-5691,HOUSEHOLD
14180,Customer#000014180,LLwKzAmz4iCOZvEdvB,ALGERIA  0,ALGERIA,AFRICA,10-802-723-3955,HOUSEHOLD
14182,Customer#000014182,3ZmfwZ71p,RUSSIA   7,RUSSIA,EUROPE,32-128-879-5625,BUILDING
14183,Customer#000014183,ZecODvfLhrRdOjjPaWJPbdoP,EGYPT    3,EGYPT,MIDDLE EAST,14-582-662-9717,HOUSEHOLD
14185,Customer#000014185,XlaEyX9arCsXT7diW9,INDONESIA3,INDONESIA,ASIA,19-679-712-3139,MACHINERY
14188,Customer#000014188,K8LHCp39lpceqXZLQ7a,CHINA    5,CHINA,ASIA,28-203-921-1211,BUILDING
14191,Customer#000014191,"KP,C8DSO",GERMANY  7,GERMANY,EUROPE,17-892-812-3817,FURNITURE
14192,Customer#000014192,"POljLN,q4CC",IRAQ     4,IRAQ,MIDDLE EAST,21-709-689-4749,FURNITURE
14194,Customer#000014194,"g45jq0,xn8uIEtrDp P7qC",INDONESIA6,INDONESIA,ASIA,19-633-363-3788,FURNITURE
14195,Customer#000014195,"wKvoPZCPSccAHsnqyq,LF",EGYPT    2,EGYPT,MIDDLE EAST,14-692-341-5614,HOUSEHOLD
14197,Customer#000014197,"Dldnc2oHKyO,tJqd ",INDIA    1,INDIA,ASIA,18-131-721-9418,FURNITURE
14198,Customer#000014198,9om4YMwv,IRAQ     8,IRAQ,MIDDLE EAST,21-522-487-5103,AUTOMOBILE
14200,Customer#000014200, z6pFdtD8BtigT DcxYL84Zo,ROMANIA  8,ROMANIA,EUROPE,29-761-876-7315,FURNITURE
14201,Customer#000014201,dwJeTiEcmzvZIiqQP,ARGENTINA3,ARGENTINA,AMERICA,11-290-670-9014,AUTOMOBILE
14203,Customer#000014203,GpT3uTDugdkA0uydM9GR5Y,CANADA   1,CANADA,AMERICA,13-268-649-7332,FURNITURE
14206,Customer#000014206,f6YkKyMOTCRHn Sde5cL,EGYPT    2,EGYPT,MIDDLE EAST,14-776-490-7753,FURNITURE
14207,Customer#000014207,PMuM6TvI9H09h,PERU     7,PERU,AMERICA,27-412-805-6181,FURNITURE
14209,Customer#000014209,n5qVRGbSn PjrsRHKO7zS,INDONESIA5,INDONESIA,ASIA,19-621-478-5255,FURNITURE
14210,Customer#000014210,VWCE8phCRF9k93HaAb3J,VIETNAM  6,VIETNAM,ASIA,31-761-981-3081,HOUSEHOLD
14212,Customer#000014212,"ilMXn6rc,nbUxnkvxI5K",BRAZIL   3,BRAZIL,AMERICA,12-303-664-9418,MACHINERY
14213,Customer#000014213,rkSDZYZlntJ4aetZ7uSLli28,GERMANY  1,GERMANY,EUROPE,17-684-723-1015,FURNITURE
14215,Customer#000014215,LdxELnvAhCAxfcWi,JORDAN   8,JORDAN,MIDDLE EAST,23-817-717-5171,HOUSEHOLD
14216,Customer#000014216,01 Sokt5jC73oZ4MLqtom,PERU     5,PERU,AMERICA,27-739-657-9047,FURNITURE
14218,Customer#000014218,WrqLkydrJQX9,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-950-830-9381,BUILDING
14219,Customer#000014219,JglHscus3ZW,ALGERIA  2,ALGERIA,AFRICA,10-288-846-7984,AUTOMOBILE
14221,Customer#000014221,a5f9c0ujnd,ROMANIA  3,ROMANIA,EUROPE,29-284-449-9694,MACHINERY
14224,Customer#000014224,dSL5eQjMybZq,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-376-547-1731,MACHINERY
14225,Customer#000014225, 7DJH0u,JAPAN    2,JAPAN,ASIA,22-406-155-9045,FURNITURE
14227,Customer#000014227,oFXDLJGvihwwiZfhklJJesZv,GERMANY  9,GERMANY,EUROPE,17-382-446-2763,AUTOMOBILE
14228,Customer#000014228,"LE,RSRJJ5b",CHINA    1,CHINA,ASIA,28-121-268-7562,BUILDING
14230,Customer#000014230,"Fr2TmxxI6mLh,sXAj",CHINA    6,CHINA,ASIA,28-223-756-4319,BUILDING
14231,Customer#000014231,"vlOt,62h",BRAZIL   2,BRAZIL,AMERICA,12-738-952-5476,HOUSEHOLD
14233,Customer#000014233,"3Qbu53NnPUsDphD,Bd",UNITED ST4,UNITED STATES,AMERICA,34-882-943-1043,BUILDING
14234,Customer#000014234,JClF5XKOjM2uQV8xMxKizSie,EGYPT    8,EGYPT,MIDDLE EAST,14-986-373-1965,MACHINERY
14236,Customer#000014236,wZqUBjlkrMZl,IRAQ     0,IRAQ,MIDDLE EAST,21-150-700-7179,MACHINERY
14239,Customer#000014239,cCXc9cjn1Cn4MdnXBNgw3,VIETNAM  8,VIETNAM,ASIA,31-899-232-1820,AUTOMOBILE
14240,Customer#000014240,LJDv5x,INDIA    4,INDIA,ASIA,18-551-430-5606,MACHINERY
14242,Customer#000014242,uFsa0CHkIS3Dgm,CHINA    6,CHINA,ASIA,28-774-914-9149,HOUSEHOLD
14243,Customer#000014243,"yOmevMAS6O1jyLg,dLZUmiF",INDONESIA6,INDONESIA,ASIA,19-672-395-8220,AUTOMOBILE
14245,Customer#000014245,KnNamrDUMFeyClmnTb17,CHINA    8,CHINA,ASIA,28-154-988-6319,BUILDING
14246,Customer#000014246,"47TE,lMaeehyyJFkUnKzP,e",BRAZIL   9,BRAZIL,AMERICA,12-931-783-9019,FURNITURE
14248,Customer#000014248,"Kiv,,WSNNUxtYdao",RUSSIA   5,RUSSIA,EUROPE,32-555-929-9715,MACHINERY
14249,Customer#000014249,NW5ZmBRm8c2erEB,EGYPT    3,EGYPT,MIDDLE EAST,14-180-382-4804,FURNITURE
14251,Customer#000014251,"ViL,c0oQzV9wOlordZ",IRAN     3,IRAN,MIDDLE EAST,20-403-192-8690,MACHINERY
14252,Customer#000014252,"aGB,U46h5J",ETHIOPIA 3,ETHIOPIA,AFRICA,15-830-891-9338,FURNITURE
14254,Customer#000014254,7KajiOXpDCH9LRznb1v,PERU     9,PERU,AMERICA,27-773-903-6020,HOUSEHOLD
14255,Customer#000014255,ensWhC5olhDGGD4cyfCnL,UNITED ST5,UNITED STATES,AMERICA,34-796-634-1877,AUTOMOBILE
14257,Customer#000014257,Mper75ygzZGi,CANADA   3,CANADA,AMERICA,13-786-871-2184,AUTOMOBILE
14258,Customer#000014258,yjl7D1oYGtxGJ23mI,CANADA   1,CANADA,AMERICA,13-864-430-3763,MACHINERY
14260,Customer#000014260,AcMhGlxve7WzG,PERU     8,PERU,AMERICA,27-534-625-4026,MACHINERY
14261,Customer#000014261,"QtHDnNUdQ,",INDIA    0,INDIA,ASIA,18-616-448-8792,BUILDING
14263,Customer#000014263,1xDOYqc,MOZAMBIQU4,MOZAMBIQUE,AFRICA,26-475-328-5046,HOUSEHOLD
14266,Customer#000014266,X8YGiUFR4lhdXLI,VIETNAM  6,VIETNAM,ASIA,31-715-924-3407,FURNITURE
14267,Customer#000014267,zJFgKBdE42qVLyhQAVq0t5Bg,EGYPT    0,EGYPT,MIDDLE EAST,14-642-197-2619,FURNITURE
14269,Customer#000014269,zNgk6Alc5OEjVFoUE,CHINA    5,CHINA,ASIA,28-809-207-8021,BUILDING
14272,Customer#000014272,c8e9X0,CANADA   9,CANADA,AMERICA,13-325-648-2943,MACHINERY
14273,Customer#000014273,w30TLMH,BRAZIL   4,BRAZIL,AMERICA,12-634-299-8463,AUTOMOBILE
14275,Customer#000014275,U2kZW557,ALGERIA  9,ALGERIA,AFRICA,10-152-804-7549,BUILDING
14276,Customer#000014276,"vvZWun5,no1",IRAN     7,IRAN,MIDDLE EAST,20-360-809-9837,FURNITURE
14278,Customer#000014278,pOKzSesyuc8VwBC7s1cOAu0,JAPAN    2,JAPAN,ASIA,22-298-672-4239,FURNITURE
14279,Customer#000014279," ea oD5UU,NhTZWxs7IY",INDIA    8,INDIA,ASIA,18-246-336-2582,MACHINERY
14281,Customer#000014281,GJwhMi32FIX,CANADA   3,CANADA,AMERICA,13-652-597-8946,FURNITURE
14282,Customer#000014282,"3,MgDK2CRe7z,6Cwjuq",MOROCCO  4,MOROCCO,AFRICA,25-925-427-9492,HOUSEHOLD
14284,Customer#000014284,pwMhXU0Ovv,RUSSIA   6,RUSSIA,EUROPE,32-135-378-3681,AUTOMOBILE
14285,Customer#000014285,QWiI2a v75A8gNN2o0GF4,MOROCCO  2,MOROCCO,AFRICA,25-418-527-1143,HOUSEHOLD
